Thu Jan 28 16:00:02 CET 2021
[92mTransaction '4be766dec1a98b170ce7b01b053576771313b4e7ce8ef20f8fdc4856a6750b0e' sent to the baker.
[92mTransaction '23d8942a596bc3442c39f7a1e8635a1d05e086e72f5070cf7671b6ef85eba950' sent to the baker.
[92mTransaction 'f4f2c569137502517b1689b450273f4ed6716a9068105192d26728826ed1aba6' sent to the baker.
[92mTransaction '380a3a4e76531bdff35b1fedcfced16b527205c62b0a630888ab380a3f38a696' sent to the baker.
[92mTransaction 'ee94a6e2182bef81a74e67641c881b98ac2796009056fd28f2cdd18c236f9868' sent to the baker.
[92mTransaction 'b85d2430f02cd6c2fa03b6ec8172ad263273808ef4e0ca68fa7c5be3c5fbbdcf' sent to the baker.
[92mTransaction '4dfddf75eb40d5f6b306c308633445094f5b8734498e9c026699b3b290199ac7' sent to the baker.
[92mTransaction '9387bf2e37baa8f6521d9451c028e871618766143e6b9b33aabc4a98f686a632' sent to the baker.
[92mTransaction '9c8dbf8038a7af8bcdb1cb7cef7d48f6281b4a87ecb6e5afb8fe3b40b3690521' sent to the baker.
[92mTransaction 'a122a6ce6e27ae03bb8c59b380ef6ba5b3408b1443a29328f309d5ee41be0607' sent to the baker.
[92mTransaction 'f38545ddc1f20d352f3b6e38ac1af50757149babd510ab5806bf7baa2fe21530' sent to the baker.
[92mTransaction 'fbf3de624f684be0a19e92e8ef306fcacf69c715753624ed01b2e68e5c2da94e' sent to the baker.
[92mTransaction '9613410050a2c71b87d8f263699d7a78c90b30c3d65dab46f0ee157d7781a046' sent to the baker.
[92mTransaction '4940e9f6ae67ebc1f6cdcfcd3d680f920b016a17682c9af435d2c57c3f97e403' sent to the baker.
[92mTransaction '1f11512eb3d8bc317a36c03e60f89f2032df2e5dc2b7c47ac1791e8a6b40aa19' sent to the baker.
[92mTransaction 'a334bf3559d7c18ac33fb281f5b75b6b1809cc952ce616ff2bac8a2c8de77b5e' sent to the baker.
[92mTransaction 'f2d3ad479d7b5bb2c9b27eab0ccef25c78d5014aabf858de4bb688da3af3d8a9' sent to the baker.
[92mTransaction '61083b046850f3dafa2793fdf4c8eee2c1571aab84192e295c75bb1d352d7ab0' sent to the baker.
[92mTransaction 'b6d31310d788d24d87e4c4387e85d1197b7a8fdb72c7c16f55c2d90e305d3759' sent to the baker.
[92mTransaction '317fc9ca78189656896168bf1eaa4ee42f72aba8625a34a525787a586a9a51e4' sent to the baker.
[92mTransaction '03183c7e839a5e2b012523df233e1ba46ab51e86afc348a923895a4b48c83565' sent to the baker.
[92mTransaction '57039c0a9750f41a49d818d57435b9822ec463a3a50ac9f9956f2e1e3209f49b' sent to the baker.
[92mTransaction 'abf1d6ebe282a8c481d044dd68ed3a812df7073b1da116211ebb0c2e2a86b71a' sent to the baker.
[92mTransaction 'a2e0a91c8f7d6a0b4e8324515338aaf1518289bb28f2696d2b33c8345274921e' sent to the baker.
[92mTransaction '0c61bb582ebfc658e2a3c88ddfe42617bf016af64d2152dacd626647bb067449' sent to the baker.
[92mTransaction '4e96f3ac700a1dcc3fa2cd03b477393845fdedd13448dc221ad1a53525b63297' sent to the baker.
[92mTransaction 'd82dca4d15f6d94bf82a1b45044173c51773abb734155657afc3f96fdf237e7d' sent to the baker.
[92mTransaction '5d2583a4957b693eeb895cc27c73d28406db51da908aac3a43ae98df46bbeeef' sent to the baker.
[92mTransaction 'e79b336cb10a4ff822650419589a88df6b9ab740b1aaf0ffc3cd142083cd2482' sent to the baker.
[92mTransaction 'dc39418908e66de07c6d61c793a756b3fad19198f591aa69dc02f39a67578e03' sent to the baker.
[92mTransaction '2fe395d73e43b47b58dda80507056bf8d8e4df960a970957e0965619888e0498' sent to the baker.
[92mTransaction '9cc3dc17aec36abb66d36c695f1b9c4ae99e224585b3ca8e4d2437a8c88cedd1' sent to the baker.
[92mTransaction '488dc02669434ebc52962790d69288080275b49226c0357da4345855205dd6c3' sent to the baker.
[92mTransaction '1395682c90241845d2539d6d402af5a6aae4e3ef9ec59a8bcaca2aecd973b3d2' sent to the baker.
[92mTransaction '40e7abc6cc9952a09e57a0b9a4bce43a2ac1890517e3ec12717877607d0a0d79' sent to the baker.
[92mTransaction '068c167624a0236ca576643df9b7b4707b39ca4de02a33bb8c382b898908a3fc' sent to the baker.
[92mTransaction 'eeffc91c68e795c6c594be478fb71be5b9d3d0476b085d8d15f01dbbf421f25c' sent to the baker.
[92mTransaction 'c3354f7621bb47802b2bf484531b9e751b3562248c494ff21cf982d659286bfd' sent to the baker.
[92mTransaction 'be55d695caa32773c7feaa0aacae1b5491beb46e26562a2e946a766dc7f4656c' sent to the baker.
[92mTransaction 'c9d1e9f11751f225148d8fa7fd0b061eccf3f3ba46b843102b42e66394a4060f' sent to the baker.
[92mTransaction 'a5077455e540f06fadbccbd170a41752247656c2e489579d3cf74140c5d63061' sent to the baker.
[92mTransaction '2edfe95ea91eec80f9f5e1e1237078d15657be811faa0bd66163855312e2f7aa' sent to the baker.
[92mTransaction '43141bbb872de9a292ba017d15937044b4edc3caee495ef03a5306cbf32f4b04' sent to the baker.
[92mTransaction 'd81b3c7134b8fe740cb7e2a2b8f8fdf6bae0d47f420e5ebd72c51916542add06' sent to the baker.
[92mTransaction 'e5c72208ba934f813ef3249ad950666b1ed620dd131c00eb7e2a920f10ef3ac2' sent to the baker.
[92mTransaction '444a3d42fd0fe07209e911ce1b8828064895ca8a4e980b042e9d73d054661df4' sent to the baker.
[92mTransaction '686fa59929b790ffefacb3177a40dbe49eba8e9398e23b69a1f056819b246289' sent to the baker.
[92mTransaction '4d07559bc1961e334f98d80929e1a4ce2153cbf1b553007dd9a9b55fa11e0d39' sent to the baker.
[92mTransaction 'f9bbc34227f0c5ff9062af99dc05add8cdaa613cca93330f15508e4e148b52aa' sent to the baker.
[92mTransaction '3fbd20cab558f40ac574e85894c00ae9d706078e305a2981994851d13e911a70' sent to the baker.
[92mTransaction 'c5dd69a315c8bd47088f0402d0a902930ced3740750800e66e939867a7ab8caa' sent to the baker.
[92mTransaction '6fe5de3bec77a50f944d0a1ac25616633fd0aea3d9aca508a958f327672483ce' sent to the baker.
[92mTransaction '5e8548a6d2512764190ed29bee56827b4e73ea1939764f362149a68fb0103689' sent to the baker.
[92mTransaction '97bec945f0d303dd6b7e5aa1a1dbeab1a13dfe8ad4ffe769ebfe6719334da792' sent to the baker.
[92mTransaction '8f74160509e67c23862fbc23da75b8db5afd1d5eefaebd296073a6f708ff4a6d' sent to the baker.
[92mTransaction 'e254ef0af640fe811385c523e1fea3bd6f29e86175ec603d9bdb3e781bdced21' sent to the baker.
[92mTransaction '3b44ed4bb107e10ae7071f872dd608ad51fa0d54f9a5875ff7f70069d14bd06b' sent to the baker.
[92mTransaction 'b32dceb829b30c2dbb7592efc8936f59934837e300683f922aa9f6a568f0a88c' sent to the baker.
[92mTransaction '89d44074deaf2059ba733cab0ce7da48ff99b5ed0b3c6a916d209c06f93932bf' sent to the baker.
[92mTransaction 'a80cc00b5e458c90eede68da6ee1679c0f89c83774d9785943915e8f1c97f2a9' sent to the baker.
[92mTransaction 'f21093eab9a7bcc196df15c9778f66dfa4c18b3cf5a51768a9fcf3509efce413' sent to the baker.
[92mTransaction '8c9ef2516fe897ec4c0ed4fb532f02ad54ba9bbd34a1d7043f7ffff2e97d5d7b' sent to the baker.
[92mTransaction '83bbea28720d43929f27f7bfb39eed1a080d9a2c51e85acee2e4a00174d214e5' sent to the baker.
[92mTransaction '35886c3c20fc6981bf94f7f130a082af03200b88f770943b62dbc4f85fff600d' sent to the baker.
[92mTransaction 'ead53427fa9b076a0c56a2684e96847b7ba4fdf1ebcb52719ee3afaf5d20399d' sent to the baker.
[92mTransaction '350f755d107360c7178f2b08dfdab58071b3273d716c9218814088989ebb1240' sent to the baker.
[92mTransaction '6d70af01ae05b279fb2db9496660fc489d26c0c2874d2856f0c482635c9647d9' sent to the baker.
[92mTransaction '886b2c138c332f326f1069f7e5aecb91308f8b4f91929cbecb27581eac15dc0b' sent to the baker.
[92mTransaction 'dc2b6b4670ec24bf7bcc6bb3095d18a84eb123dda871268332165b66d46da956' sent to the baker.
[92mTransaction 'a8f9af5e8073cb0246f5aef75dfc8e6b0e7940f7ee5e4b6e76417be89033f778' sent to the baker.
[92mTransaction 'ff5d4e7eb92a5e58a540109f9bae592449674a19d39ad63614692f08df1bedc6' sent to the baker.
[92mTransaction '594a47e00d7d94559c3d00991b4eef8944c24c69faf106f9ec79e9613d2f1af1' sent to the baker.
[92mTransaction '103233a2c47311e5ffbf1f3f0bf4fb675e99b17ece18131ab9458cdfed3f2a0c' sent to the baker.
[92mTransaction '6576d92d4b6a17055c5cbbe1d74bc357eabd18e53a4ac3c80131d09da3fe6802' sent to the baker.
[92mTransaction '7c077e6350d4dd749b46d3d57d1672ed91f3c5c8b77d1f00505b620d1ff8c2f2' sent to the baker.
[92mTransaction 'f17be0360b4b6f6d5a422320a2c35e102289b4eb5197ad931b314e5b52a53007' sent to the baker.
[92mTransaction '0f5be448fbccfb61cc1cf68dafceb3efb93ece7fc44aa86a51ff556b0bfbbf56' sent to the baker.
[92mTransaction 'c54540deb18a7a359f97c0533b200f968d63dd5f89996715026405e4434264dd' sent to the baker.
[92mTransaction 'b38bbb6da57cc7f33784facd3686d04d733450862e5f836ff657dfac94b2feed' sent to the baker.
[92mTransaction 'a37d7240e462b60eb9dcbc4de7870f2ad99e90d9352eaa21bba9989b9f4d79b7' sent to the baker.
[92mTransaction 'bb425780f80e82ada8ffd0d4bfa030b58cbbcf11c4526a60639f86f50a219f84' sent to the baker.
[92mTransaction '2c87bdff3fcb8c887f3638a8db0ad7ec81db73d253fa6d3b2199ac33499cf85b' sent to the baker.
[92mTransaction '5dcb9ebb782cf72fa41b04037eba9769fc19ce412277b81e6c4c408b323dcf1b' sent to the baker.
[92mTransaction '0457a96b1f4be8d26044404598de09c171dc29db12c72fa09eef022a574490d4' sent to the baker.
[92mTransaction '65676a0635a2e085650d2bacba3ecf34f5977995461ed58549e757f281d2d47f' sent to the baker.
[92mTransaction 'c071c1267160dff61e3dcb6a96e8d3116beb4bd5930016e4b19b011e6be3d972' sent to the baker.
[92mTransaction '09bdefef9dc0b80d7c8e768991cf3982efc4712ae03d8af3475eb3c3468bc4c8' sent to the baker.
[92mTransaction 'e3035b415a3c944ad53e0a616dcc83d49864390dbf87e8ddf1e1eab6afaabf7a' sent to the baker.
[92mTransaction 'bf628bc8559257f8550cab2852950d9f8143a7f3730a95fd16392d4332ff8e99' sent to the baker.
